ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          NT11
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           102,       3.24770,   400.000E-03,            0.,NA,NA,"",       29.0966
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           103,       3.25463,  -599.920E-03,            0.,NA,NA,"",       29.0858
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           104,       3.25341,  -579.922E-03,            0.,NA,NA,"",       29.0859
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           105,       3.25218,  -559.924E-03,            0.,NA,NA,"",       29.0861
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           106,       3.25095,  -539.925E-03,            0.,NA,NA,"",       29.0862
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           107,       3.24972,  -519.927E-03,            0.,NA,NA,"",       29.0864
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           108,       3.24849,  -499.928E-03,            0.,NA,NA,"",       29.0866
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           109,       3.24727,  -479.930E-03,            0.,NA,NA,"",       29.0868
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           110,       3.24604,  -459.931E-03,            0.,NA,NA,"",       29.0870
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           111,       3.24481,  -439.933E-03,            0.,NA,NA,"",       29.0872
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           112,       3.24358,  -419.935E-03,            0.,NA,NA,"",       29.0875
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           113,       3.24235,  -399.936E-03,            0.,NA,NA,"",       29.0878
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           114,       3.24113,  -379.938E-03,            0.,NA,NA,"",       29.0881
